Iteration,GetTicks,thread_id,#Request,Processing Time,Total #Request,Total Request Processing Time,#Update,Update Time,Total #Update,Total Update Time,Player Number,
168,3732461545,0,109,0,6645,80,234,5,22047,440,234,
169,3732461600,0,30,0,6675,80,234,4,22281,444,234,
170,3732461655,0,39,0,6714,80,234,3,22515,447,234,
171,3732461711,0,54,1,6768,81,234,3,22749,450,234,
172,3732461766,0,91,1,6859,82,234,4,22983,454,234,
173,3732461821,0,36,1,6895,83,234,5,23217,459,234,
174,3732461877,0,33,0,6928,83,234,3,23451,462,234,
175,3732461932,0,110,1,7038,84,234,4,23685,466,234,
176,3732461989,0,46,1,7084,85,234,4,23919,470,234,
177,3732462044,0,32,0,7116,85,234,4,24153,474,234,
178,3732462099,0,53,1,7169,86,235,4,24388,478,235,
179,3732462154,0,95,0,7264,86,234,4,24622,482,234,
180,3732462209,0,36,0,7300,86,234,5,24856,487,234,
181,3732462264,0,34,0,7334,86,235,4,25091,491,235,
182,3732462319,0,65,0,7399,86,234,4,25325,495,234,
183,3732462374,0,77,0,7476,86,235,5,25560,500,235,
184,3732462430,0,33,0,7509,86,235,4,25795,504,235,
185,3732462485,0,47,0,7556,86,235,4,26030,508,235,
186,3732462540,0,112,3,7668,89,233,4,26263,512,233,
187,3732462595,0,28,2,7696,91,233,5,26496,517,233,
188,3732462655,0,35,0,7731,91,234,9,26730,526,234,
189,3732462710,0,56,1,7787,92,234,4,26964,530,234,
190,3732462766,0,93,0,7880,92,235,6,27199,536,235,
191,3732462821,0,34,0,7914,92,236,4,27435,540,236,
192,3732462877,0,36,0,7950,92,236,2,27671,542,236,
193,3732462932,0,101,0,8051,92,237,4,27908,546,237,
194,3732462987,0,47,0,8098,92,237,5,28145,551,237,
195,3732463042,0,33,0,8131,92,237,4,28382,555,237,
196,3732463098,0,55,0,8186,92,237,5,28619,560,237,
197,3732463154,0,97,1,8283,93,238,4,28857,564,238,
198,3732463209,0,38,0,8321,93,238,4,29095,568,238,
199,3732463264,0,39,0,8360,93,238,4,29333,572,238,
200,3732463320,0,74,0,8434,93,238,3,29571,575,238,
201,3732463376,0,73,0,8507,93,238,5,29809,580,238,
